acquaintance	Znajomy
acquired	Nabyty
actuator	Uruchamiacz
adultery	Cudzołóstwo
affirmative	Twierdzący
although	Chociaż
august	Sierpień
bearer	Okaziciel
burden	Ciężar
concurrent	Równoległy
delight	Rozkosz
dissecting	Disting
distress	Rozpacz
hence	Stąd
july	Lipiec
miscellaneous	Różnorodny
nouns	Rzeczowniki
overture	Uwertura
pronouns	Zaimki
retrieving	Aport
september	Wrzesień
therefore	Dlatego
throughout	Na wskroś
thus	Zatem
wiring	Okablowanie
abbreviations	skróty
absence	brak
abundant	obfity
accomplished	znakomity
accomplishments	Osiągnięcia
account	konto
acknowledged	uznane
acknowledges	uznaje
acquainted	obeznany
acquiesced	zgodził się
acquire	nabywać
acquisition	nabytek
adheres	przylega
adjective	przymiotnik
adjectives	przymiotniki
administer	administrować
ado	korowody
adverb	przysłówek
adversity	nieszczęście
advocates	zwolennicy
affiliate	przyłączać
along	przed siebie
amend	poprawiać
applied	stosowany
attend	brać udział
authentication	uwierzytelnianie
borough	miasto
bulk	cielsko
bumpy	guzkowaty
burden	ciężar
ceased	przerwany
comparison	porównanie
comprehend	zrozumieć
concise	zwięzły
consist	składać się
contemporary	współczesny
covariant	kowariant
cram	dopchać
definiteness	definitywność
denote	oznaczać
denoted	oznaczone
despair	rozpacz
devoted	oddany
discouraged	zniechęcony
dismantled	Rozdrobniony
dispatcher	dyspozytor
dissociated	oddzielone
domestic	domowy
ease	łatwość
eligible	odpowiedni
endangered	zagrożony
envelope	koperta
established	przyjęty
exhibitions	wystawy
expelled	Wyrzucony
explicit	wyraźny
explicitly	wyraźnie
extant	pozostały
facilitates	ułatwiać
fled	uciekł
foremost	główny
former	dawny
genuinely	prawdziwie
halfhearted	bez entuzjazmu
hassle	dokuczać
have	Posiadać
heap	sterta
hence	stąd
hereditary	dziedziczny
hereditary	dziedziczny
hoisted	Podnosił
idempotent	idempotent
implicit	domniemany
increasingly	coraz bardziej
interchange	wymieniać
intermediate	mediator
interoperability	interoperacyjność
intrinsic	wewnętrzny
invaluable	nieoceniony
inverse	odwrotność
invoke	odwołać się
laid	położony
latter	końcowy
masts	maszty
nevertheless	niemniej jednak
noun	rzeczownik
obsolete	przestarzały
obtain	uzyskać
omitted	pominięty
onwards	dalej
opposed	przeciwny
ought	powinien
parallel	równoległy
parse	analizować
payload	ładunek
perpetrated	popełniony
persisted	trwał
persistence	trwałość
phases	fazy
phrases	zwroty
plight	sytuacja
portlets	Portlety
posthumously	pośmiertnie
preceding	poprzedzający
principalities	księstwa
pronoun	zaimek
readily	łatwo
recipient	odbiorca
renowned	słynny
retain	zachować
revert	Odwracać
seamless	bezszwowy
significantly	znacznie
solely	wyłącznie
stale	nieświeży
stalls	stajnie
stash	chować na potem
stashed	schowany
stateless	bezstanowy
suffice	wystarczać
sufficient	wystarczający
superior	znakomity
tedious	żmudny
ternary	potrójny
therefore	W związku z tym
through	Poprzez
throughout	na wskroś
thus	zatem
towards	w kierunku
transient	przejściowy
vary	różnić się
versatile	wszechstronny
virtue	cnota
virtue	cnota
volatile	lotny
whilst	podczas
within	w
yield	dawać
